gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group B,High school,free/reduced,not complete,38,45,37
other,group C,high school,standard,not complete,96,56,71
female,group D,High school,standard,not complete,96,100,63
female,group E,associate's degree,free/reduced,complete,48,31,60
female,group A,associate's degree,,not complete,79,65,43
female,group D,associate's degree,free/reduced,not complete,44,61,35
female,group A,associate's degree,free/reduced,complete,75,86,37
male,group E,college,free/reduced,complete,96,42,39
male,group A,high school,free/reduced,not complete,72,61,88
male,group A,college,standard,not complete,96,38,78
female,group D,bachelor's degree,standard,not complete,61,66,56
male,group D,high school,free/reduced,not complete,98,57,79
male,group E,bachelor's degree,standard,complete,40,73,67
female,group E,high school,free/reduced,not complete,34,78,72
female,group D,master's degree,standard,complete,37,69,45
male,group E,bachelor's degree,free/reduced,complete,85,68,71
female,group B,college,free/reduced,,91,59,42
male,group B,high school,free/reduced,not complete,61,57,68
male,group A,college,free/reduced,complete,99,88,58
female,group C,high school,standard,complete,69,39,45
male,group A,college,standard,complete,59,40,84
female,Group A,bachelor's degree,free/reduced,not complete,93,30,90
male,group D,associate's degree,free/reduced,not complete,31,76,82
male,group D,college,free/reduced,complete,78,35,53
male,group D,college,free/reduced,complete,78,35,53
male,group E,high school,standard,complete,68,77,51
female,group E,associate's degree,standard,Not complete,36,62,93
Male,group B,high school,standard,not complete,89,45,100
female,group A,associate's degree,standard,not complete,42,63,74
undisclosed,group E,associate's degree,free/reduced,not complete,71,50,54
female,,master's degree,standard,not complete,78,68,80
female,group D,bachelor's degree,standard,not complete,36,94,100
female,group A,college,free/reduced,complete,31,56,38
male,group A,college,free/reduced,not complete,52,94,43
Male,group B,high school,free/reduced,not complete,84,71,92
female,group C,master's degree,standard,not complete,90,72,33
female,group A,associate's degree,free/reduced,complete,70,75,75
female,Group A,bachelor's degree,free/reduced,not complete,63,671,98
male,group D,college,free/reduced,complete,81,78,61
male,group B,high school,free/reduced,complete,59,86,50
female,group C,high school,standard,complete,52,57,80
female,group E,bachelor's degree,standard,not complete,68,85,75
undisclosed,group E,high school,free/reduced,complete,52,68,92
other,group B,high school,standard,complete,86,86,39
male,group B,high school,standard,,63,100,43
female,group C,bachelor's degree,free/reduced,not complete,51,41,84
female,group D,master's degree,free/reduced,not complete,36,31,67
female,group D,associate's degree,free/reduced,not complete,94,48,84
undisclosed,group D,associate's degree,free/reduced,,61,76,34
female,group C,high school,free/reduced,complete,45,67,82
female,group E,associate's degree,free/reduced,complete,43,52,70
male,group A,college,free/reduced,not complete,64,30,384
other,group D,bachelor's degree,standard,not complete,46,92,56
female,group C,associate's degree,free/reduced,not complete,44,99,75
Female,Group D,high school,standard,complete,90,72,47
male,group E,high school,standard,complete,37,51,51
male,group C,college,standard,complete,96,57,45
female,group B,master's degree,free/reduced,not complete,76,85,39
female,group D,associate's degree,standard,not complete,41,84,73
female,group E,high school,free/reduced,not complete,91,82,56
male,group A,master's degree,Standard,complete,62,81,96
male,group B,bachelor's degree,standard,complete,77,1001,54
male,group A,bachelor's degree,standard,complete,65,86,53
female,group E,associate's degree,free/reduced,complete,90,42,74
female,group A,college,free/reduced,complete,84,95,59
female,group A,bachelor's degree,Standard,not complete,47,41,57
female,group C,,standard,complete,38,98,95
female,group C,bachelor's degree,standard,complete,58,36,32
male,group B,high school,free/reduced,,81,33,75
,group E,bachelor's degree,standard,not complete,61,84,36
female,group B,associate's degree,free/reduced,not complete,32,97,53
female,group C,college,free/reduced,not complete,65,58,88
male,group D,associate's degree,free/reduced,not complete,88,57,38
male,group E,college,standard,not complete,31,63,95
female,group A,high school,standard,complete,74,50,57
female,group C,high school,free/reduced,complete,36,58,78
male,,high school,,not complete,74,44,71
male,group A,associate's degree,standard,complete,81,86,86
female,group C,college,free/reduced,not complete,57,78,90
female,group B,,standard,complete,77,92,75
female,group A,high school,standard,not complete,76,92,47
male,group B,high school,standard,not complete,90,91,92
female,group B,college,standard,complete,98,71,90
male,group E,college,standard,complete,31,40,88
male,group B,,standard,complete,98,78,50
male,group B,college,standard,complete,96,66,40
male,group B,Bachelor's degree,free/reduced,complete,79,70,57
male,group C,high school,free/reduced,complete,810,81,64
male,group B,college,standard,not complete,55,660,64
,group A,associate's degree,free/reduced,not complete,88,82,456
Female,group D,master's degree,standard,complete,73,41,67
male,group B,bachelor's degree,standard,complete,49,84,31
male,group A,college,free/reduced,complete,73,79,35
female,group E,associate's degree,free/reduced,complete,35,78,32
female,group A,associate's degree,free/reduced,not complete,56,77,38
female,group E,bachelor's degree,free/reduced,complete,76,39,72
female,group C,high school,free/reduced,complete,38,52,69
female,group C,high school,free/reduced,complete,57,39,82
female,group E,bachelor's degree,free/reduced,not complete,66,52,68
female,,college,standard,complete,38,92,62
male,group D,college,free/reduced,not complete,73,99,75
other,group B,high school,free/reduced,complete,81,40,85
female,group A,high school,free/reduced,complete,51,44,46
female,group B,high school,standard,not complete,68,69,61
male,group D,College,standard,complete,43,40,39
male,Group B,bachelor's degree,free/reduced,complete,89,30,58
male,group C,master's degree,standard,not complete,31,71,1078
male,group B,high school,standard,complete,86,55,306
other,group A,high school,standard,,51,47,34
male,group B,high school,standard,not complete,80,60,75
,group C,master's degree,standard,complete,33,55,46
female,group E,master's degree,free/reduced,complete,63,70,65
male,group B,bachelor's degree,standard,not complete,30,49,64
female,group A,high school,free/reduced,complete,79,53,75
male,group D,college,standard,complete,72,520,34
male,group C,Bachelor's degree,standard,not complete,79,92,86
female,group B,college,standard,not complete,38,79,89
female,group E,bachelor's degree,free/reduced,not complete,97,86,89
female,group E,bachelor's degree,free/reduced,not complete,97,86,89
other,group B,associate's degree,free/reduced,complete,33,73,52
female,group B,associate's degree,standard,complete,56,64,62
male,group B,associate's degree,standard,not complete,73,60,99
male,group D,associate's degree,standard,not complete,79,30,51
male,group C,bachelor's degree,standard,complete,70,97,59
male,group E,high school,free/reduced,complete,98,91,39
male,group E,high school,standard,complete,54,90,30
Male,,college,free/reduced,complete,47,42,96
female,group C,bachelor's degree,free/reduced,not complete,75,68,41
female,group A,high school,standard,complete,288,32,88
female,group E,college,standard,not complete,62,96,60
male,group D,high school,free/reduced,complete,78,79,58
male,group E,bachelor's degree,standard,complete,92,85,89
male,group D,high school,standard,complete,39,46,83
male,group C,college,free/reduced,,51,88,35
female,group A,college,free/reduced,complete,55,45,64
male,group E,bachelor's degree,standard,complete,47,71,82
female,group A,college,Standard,complete,51,36,95
male,group C,college,standard,not complete,78,92,95
female,group A,college,standard,not complete,93,65,55
female,group A,college,free/reduced,not complete,73,97,72
male,group C,college,free/reduced,not complete,80,53,891
female,group C,bachelor's degree,free/reduced,not complete,30,94,32
Female,group A,college,free/reduced,complete,66,96,42
female,group A,,free/reduced,complete,96,75,90
other,group E,college,standard,not complete,69,49,99
other,group A,high school,free/reduced,not complete,94,59,32
undisclosed,group B,high school,free/reduced,complete,34,32,88
Female,group D,college,standard,complete,88,45,90
female,group C,high school,free/reduced,not complete,61,36,47
male,,bachelor's degree,standard,not complete,52,42,70
female,group A,college,free/reduced,not complete,31,83,56
male,group D,associate's degree,free/reduced,not complete,84,61,56
female,group B,high school,standard,complete,39,83,71
female,group D,Associate's degree,free/reduced,not complete,93,94,92
female,group D,associate's degree,standard,not complete,79,68,85
male,group E,high school,standard,complete,85,74,46
male,group C,high school,standard,not complete,36,35,54
female,group C,college,standard,not complete,92,92,84
female,group D,bachelor's degree,free/reduced,complete,37,77,79
male,group E,college,free/reduced,complete,37,54,90
male,group A,college,free/reduced,complete,93,32,98
,group A,high school,free/reduced,complete,48,93,72
male,group E,high school,standard,not complete,61,65,64
female,group E,bachelor's degree,standard,complete,87,58,75
female,group C,college,free/reduced,complete,74,50,86
female,group D,college,free/reduced,complete,63,43,34
male,group E,bachelor's degree,free/reduced,not complete,42,36,82
male,group A,college,standard,complete,74,30,78
male,group B,high school,standard,not complete,91,96,85
female,group C,high school,standard,not complete,41,49,39
,group B,high school,standard,Complete,43,49,81
,group C,high school,free/reduced,complete,48,40,44
female,group B,high school,free/reduced,not complete,71,32,33
Male,,associate's degree,free/reduced,complete,32,82,97
female,group A,associate's degree,standard,complete,97,93,66
female,group E,master's degree,standard,complete,71,47,82
male,group D,college,free/reduced,complete,52,97,55
female,group C,college,free/reduced,complete,96,51,92
female,group E,college,free/reduced,complete,35,82,44
female,group E,,free/reduced,complete,37,49,72
male,,college,standard,complete,46,48,99
female,group B,bachelor's degree,free/reduced,complete,80,59,52
female,group B,high school,free/reduced,complete,41,43,81
male,group D,high school,standard,complete,100,54,96
female,group E,,free/reduced,not complete,37,36,93
undisclosed,group A,high school,Free/reduced,not complete,38,84,37
female,group E,bachelor's degree,standard,not complete,94,33,53
female,group B,college,standard,complete,65,81,79
male,group B,college,standard,complete,66,31,62
male,group E,college,free/reduced,complete,62,85,40
male,group A,master's degree,free/reduced,not complete,42,44,99
male,group D,master's degree,free/reduced,complete,72,77,30
female,group B,high school,standard,not complete,78,40,62
female,group D,college,standard,not complete,85,87,1140
female,group B,bachelor's degree,free/reduced,complete,45,48,90
male,group C,college,Standard,complete,70,44,97
female,group E,college,free/reduced,complete,528,66,51
male,group E,high school,standard,not complete,87,36,54
male,group A,college,free/reduced,Complete,54,41,75
undisclosed,group D,high school,standard,not complete,72,40,36
female,group B,high school,free/reduced,not complete,90,49,54
female,group B,college,free/reduced,not complete,55,70,71
male,group A,associate's degree,free/reduced,complete,38,43,100
male,group A,master's degree,free/reduced,complete,56,91,88
female,group B,bachelor's degree,free/reduced,complete,64,58,76
male,group A,bachelor's degree,free/reduced,not complete,46,96,71
male,group D,college,free/reduced,complete,81,94,87
male,group E,college,free/reduced,not complete,67,74,43
female,group A,associate's degree,standard,not complete,66,87,99
female,group C,college,standard,not complete,73,63,57
male,group E,high school,standard,not complete,79,83,98
female,group D,high school,free/reduced,complete,34,84,96
male,group D,,standard,complete,63,31,60
male,group E,associate's degree,standard,not complete,50,42,84
male,group B,bachelor's degree,free/reduced,not complete,91,53,64
undisclosed,group B,master's degree,free/reduced,complete,576,96,68
male,group B,college,free/reduced,complete,78,64,54
male,group D,bachelor's degree,free/reduced,not complete,62,55,30
male,group E,high school,free/reduced,not complete,86,47,90
male,group A,college,standard,complete,52,50,87
female,group A,high school,free/reduced,not complete,37,88,65
male,group D,college,free/reduced,complete,79,42,70
male,group E,associate's degree,Free/reduced,not complete,52,76,49
male,,high school,free/reduced,not complete,75,92,52
undisclosed,group D,bachelor's degree,free/reduced,complete,62,74,89
female,group B,associate's degree,free/reduced,complete,378,42,84
female,group D,college,free/reduced,not complete,420,70,74
female,group E,associate's degree,standard,not complete,81,38,89
male,group B,bachelor's degree,free/reduced,not complete,54,43,36
male,,bachelor's degree,standard,complete,68,56,51
female,group E,college,standard,not complete,61,84,51
male,group C,bachelor's degree,Standard,complete,55,59,99
,group E,associate's degree,standard,complete,73,82,63
male,group A,master's degree,standard,complete,78,33,72
male,group A,master's degree,standard,complete,78,33,72
female,group B,college,standard,not complete,85,81,94
female,group A,college,standard,not complete,58,84,99
female,group D,,standard,complete,83,31,79
male,group C,master's degree,free/reduced,complete,60,55,77
male,group B,high school,free/reduced,complete,94,53,62
male,group E,Bachelor's degree,free/reduced,complete,71,97,100
male,group C,associate's degree,standard,complete,39,672,93
other,group C,high school,free/reduced,complete,67,81,58
female,group B,college,free/reduced,complete,80,72,97
female,group E,high school,standard,Complete,100,91,54
male,group D,associate's degree,standard,complete,69,44,94
other,group B,associate's degree,standard,not complete,76,49,48
female,group B,college,Free/reduced,not complete,61,74,44
male,group E,high school,free/reduced,not complete,73,56,40
male,group A,college,standard,not complete,94,57,38
other,group C,high school,free/reduced,complete,87,39,64
male,group E,master's degree,free/reduced,not complete,92,60,51
female,group A,college,free/reduced,complete,56,67,39
male,group D,associate's degree,free/reduced,complete,68,39,92
male,group E,high school,free/reduced,not complete,73,73,69
other,group C,bachelor's degree,standard,not complete,63,70,82
male,group A,college,standard,not complete,48,48,32
female,group B,college,standard,complete,80,46,90
male,group E,associate's degree,free/reduced,not complete,61,91,89
other,group C,bachelor's degree,free/reduced,not complete,79,57,42
male,group B,college,standard,complete,88,79,98
female,group D,high school,free/reduced,not complete,81,100,36
male,group C,college,standard,complete,89,48,47
male,group D,high school,free/reduced,not complete,94,88,40
female,group D,associate's degree,standard,not complete,36,92,42
female,group A,associate's degree,free/reduced,not complete,53,49,61
female,group B,associate's degree,,complete,32,89,99
female,group D,college,standard,complete,62,83,78
male,group E,high school,standard,not complete,54,55,30
male,group E,college,free/reduced,complete,64,56,33
male,group C,high school,free/reduced,complete,33,78,37
male,group B,bachelor's degree,standard,not complete,92,51,98
male,group C,high school,standard,Not complete,31,94,47
male,Group A,college,standard,complete,83,98,32
female,group A,bachelor's degree,standard,complete,36,99,59
female,group A,associate's degree,free/reduced,not complete,38,84,57
female,group A,college,free/reduced,not complete,89,54,54
female,group E,high school,,not complete,48,62,59
undisclosed,group B,college,free/reduced,complete,69,68,60
Undisclosed,group C,bachelor's degree,,not complete,81,82,39
female,group A,bachelor's degree,standard,complete,50,43,74
male,group B,college,free/reduced,complete,42,71,52
male,group C,bachelor's degree,standard,not complete,55,38,608
female,group C,bachelor's degree,free/reduced,not complete,47,33,95
female,group C,master's degree,free/reduced,complete,40,61,50
female,group D,college,standard,not complete,69,79,91
male,group B,high school,free/reduced,not complete,99,92,74
female,group A,college,free/reduced,complete,74,84,36
female,group A,college,free/reduced,complete,74,84,36
female,group E,high school,free/reduced,complete,71,77,80
other,,college,Standard,not complete,60,64,47
male,group C,college,standard,not complete,96,56,68
female,group D,bachelor's degree,free/reduced,not complete,56,94,50
male,group D,college,free/reduced,not complete,98,32,85
male,group E,high school,free/reduced,complete,37,33,89
female,group C,college,standard,not complete,57,50,91
male,group B,bachelor's degree,standard,complete,93,90,35
male,group B,college,free/reduced,not complete,56,88,92
female,group E,bachelor's degree,free/reduced,not complete,39,67,76
male,group B,high school,free/reduced,Not complete,48,68,60
male,group C,college,free/reduced,Complete,73,42,50
male,group B,college,free/reduced,complete,88,76,90
male,group E,bachelor's degree,standard,not complete,84,51,96
male,group A,,free/reduced,not complete,50,62,82
male,group D,associate's degree,standard,not complete,87,77,98
female,group D,associate's degree,free/reduced,not complete,63,85,57
female,Group E,associate's degree,standard,not complete,48,44,93
female,Group A,associate's degree,free/reduced,complete,44,52,63
male,group C,bachelor's degree,Free/reduced,not complete,47,48,45
male,group B,college,free/reduced,not complete,70,33,55
male,group C,high school,free/reduced,not complete,80,88,54
undisclosed,group C,college,free/reduced,not complete,67,77,82
male,group B,associate's degree,standard,not complete,69,83,99
female,group A,bachelor's degree,free/reduced,complete,79,67,68
female,group C,bachelor's degree,free/reduced,not complete,62,55,84
female,group D,college,standard,complete,86,40,97
male,group E,bachelor's degree,free/reduced,not complete,56,53,92
male,group E,associate's degree,free/reduced,complete,59,67,38
male,group E,high school,standard,not complete,47,32,33
female,Group E,bachelor's degree,free/reduced,complete,95,64,85
female,group D,associate's degree,standard,complete,68,95,37
Female,group B,high school,free/reduced,complete,53,67,81
male,group D,high school,standard,not complete,66,31,98
female,group B,college,standard,not complete,58,39,44
male,group E,college,free/reduced,not complete,47,60,68
male,group A,bachelor's degree,free/reduced,complete,40,59,47
female,group D,bachelor's degree,Standard,complete,93,99,81
female,group C,bachelor's degree,standard,not complete,76,66,33
female,group D,college,free/reduced,not complete,31,49,94
male,group E,college,free/reduced,not complete,65,87,65
male,group A,high school,free/reduced,,51,30,70
male,group E,,standard,complete,82,63,30
female,group E,associate's degree,free/reduced,complete,74,53,62
female,group D,college,standard,complete,96,63,73
male,group A,high school,free/reduced,complete,76,63,61
Female,group B,bachelor's degree,free/reduced,not complete,47,65,44
male,group A,associate's degree,standard,not complete,93,75,97
female,group B,college,standard,complete,66,90,83
male,group A,,standard,,71,48,84
male,group B,associate's degree,standard,not complete,49,72,57
female,group D,college,free/reduced,complete,87,75,70
male,group D,high school,free/reduced,complete,83,41,97
male,group E,,standard,complete,47,85,68
female,group C,college,standard,not complete,33,35,74
female,group C,college,free/reduced,complete,68,41,34
female,group D,college,standard,complete,36,36,50
female,group C,high school,standard,Complete,88,91,66
male,group D,college,free/reduced,not complete,34,79,84
female,group B,college,free/reduced,not complete,98,92,91
female,group C,bachelor's degree,free/reduced,not complete,99,970,100
female,group C,high school,standard,complete,73,93,54
other,group A,college,free/reduced,complete,36,93,53
male,group B,associate's degree,free/reduced,not complete,40,85,77
female,Group E,high school,free/reduced,complete,38,62,760
male,group D,master's degree,free/reduced,complete,39,88,96
male,group C,college,free/reduced,complete,48,91,37
male,group E,high school,standard,complete,88,50,40
male,group B,bachelor's degree,standard,not complete,79,68,37
male,,associate's degree,standard,complete,45,74,35
male,group D,college,free/reduced,complete,64,80,56
male,group A,bachelor's degree,standard,not complete,77,78,42
male,group C,high school,standard,complete,55,71,56
male,group A,high school,free/reduced,not complete,32,50,66
undisclosed,group B,college,standard,not complete,47,69,83
female,group B,high school,standard,complete,73,98,83
female,group B,high school,standard,complete,73,98,83
female,group C,high school,standard,not complete,72,72,58
female,group C,,standard,complete,93,31,69
other,group C,high school,standard,not complete,78,58,90
male,group D,college,free/reduced,complete,32,690,34
male,group D,high school,free/reduced,not complete,58,58,36
male,group A,high school,standard,not complete,55,95,82
male,group A,high school,standard,not complete,65,74,32
female,group C,high school,free/reduced,not complete,49,35,34
undisclosed,group D,high school,standard,not complete,72,60,67
male,group E,college,free/reduced,complete,82,38,36
female,Group D,,standard,not complete,93,45,97
male,group D,high school,standard,,72,36,84
male,group D,college,standard,not complete,64,62,32
other,group A,college,free/reduced,complete,42,45,76
male,group B,high school,free/reduced,not complete,83,99,92
female,group C,master's degree,free/reduced,complete,36,91,58
female,group C,college,free/reduced,,57,43,35
,group C,,free/reduced,complete,40,42,61
female,group B,associate's degree,standard,not complete,88,34,95
female,group E,high school,standard,not complete,45,33,71
other,group C,associate's degree,standard,not complete,69,42,62
male,group E,bachelor's degree,standard,not complete,80,78,74
male,group E,Associate's degree,free/reduced,complete,84,72,88
male,group E,master's degree,standard,complete,60,56,61
female,group B,associate's degree,free/reduced,not complete,69,52,58
undisclosed,group C,bachelor's degree,standard,complete,60,91,98
female,group E,high school,free/reduced,complete,100,59,957
female,group E,high school,free/reduced,complete,41,57,66
female,group B,college,standard,not complete,80,64,34
male,group A,bachelor's degree,free/reduced,not complete,39,61,87
female,group A,college,free/reduced,complete,40,77,54
male,group D,,standard,not complete,61,61,42
female,group C,college,,,83,65,91
female,group A,bachelor's degree,free/reduced,not complete,87,34,37
other,group D,high school,free/reduced,complete,460,46,99
male,group E,associate's degree,free/reduced,complete,43,99,60
female,group C,college,free/reduced,not complete,69,40,50
female,group B,associate's degree,standard,complete,31,97,74
female,group B,high school,free/reduced,complete,65,82,44
female,group C,bachelor's degree,standard,not complete,38,96,63
undisclosed,group C,high school,standard,not complete,40,84,78
male,group B,,standard,complete,51,550,53
male,group E,associate's degree,free/reduced,complete,85,44,57
male,Group C,associate's degree,standard,not complete,94,92,79
female,group E,bachelor's degree,free/reduced,not complete,57,52,34
male,group A,high school,free/reduced,complete,87,84,78
undisclosed,Group A,high school,free/reduced,complete,86,84,68
female,group D,high school,standard,complete,47,32,76
undisclosed,Group B,associate's degree,standard,complete,86,93,39
,group D,college,standard,complete,35,74,42
female,group D,associate's degree,standard,complete,68,46,35
female,group E,bachelor's degree,standard,complete,372,62,48
female,group D,college,free/reduced,not complete,86,82,68
male,group D,associate's degree,standard,complete,83,69,90
male,group D,high school,free/reduced,complete,62,42,67
male,group C,high school,free/reduced,complete,71,69,87
female,group C,college,free/reduced,not complete,45,76,64
male,group A,College,free/reduced,Complete,35,83,61
female,group C,high school,standard,not complete,43,90,38
male,group D,high school,free/reduced,not complete,75,83,55
undisclosed,group B,college,standard,complete,96,56,42
Male,group C,associate's degree,standard,complete,50,81,40
male,group D,bachelor's degree,free/reduced,complete,31,86,57
male,group B,high school,standard,not complete,82,98,39
female,group A,associate's degree,standard,complete,72,93,65
female,group E,bachelor's degree,standard,not complete,85,48,99
other,group E,college,free/reduced,not complete,58,59,70
male,group A,associate's degree,standard,complete,50,576,96
female,group B,associate's degree,free/reduced,complete,44,72,91
female,group A,associate's degree,free/reduced,not complete,56,33,39
male,group C,high school,free/reduced,not complete,50,71,61
female,group E,associate's degree,standard,not complete,31,100,53
female,group B,high school,standard,complete,87,1152,72
female,group A,high school,Free/reduced,complete,96,45,55
other,group C,high school,standard,not complete,47,60,56
female,group D,high school,standard,not complete,69,43,81
female,group E,high school,free/reduced,not complete,72,90,78
female,group E,associate's degree,free/reduced,not complete,86,62,34
female,group D,college,standard,not complete,37,52,39
male,group D,master's degree,free/reduced,not complete,98,79,55
female,group C,associate's degree,standard,complete,37,62,86
male,group D,college,standard,not complete,58,37,65
male,group A,college,standard,complete,96,39,69
undisclosed,group B,bachelor's degree,standard,,86,60,66
male,group C,associate's degree,standard,not complete,63,80,100
male,group E,high school,free/reduced,complete,56,69,100
female,group E,college,free/reduced,not complete,33,86,65
female,group D,high school,standard,complete,64,48,79
female,group B,high school,standard,complete,88,97,88
male,group B,high school,standard,not complete,36,54,60
other,group A,college,standard,complete,39,72,79
other,group A,college,standard,complete,39,72,79
male,group A,associate's degree,standard,not complete,72,42,33
female,group A,bachelor's degree,standard,complete,79,46,73
female,group E,college,standard,not complete,88,86,37
female,group E,associate's degree,free/reduced,not complete,74,96,87
male,group C,college,free/reduced,not complete,95,75,89
undisclosed,group C,bachelor's degree,free/reduced,complete,44,46,100
Male,group E,high school,free/reduced,complete,38,36,77
male,group B,high school,standard,not complete,40,45,49
female,group B,high school,standard,complete,66,38,80
male,group D,bachelor's degree,free/reduced,not complete,56,40,83
male,group D,college,,Not complete,79,50,79
female,group E,bachelor's degree,standard,complete,84,70,97
male,group D,high school,free/reduced,complete,59,81,37
male,group C,high school,standard,complete,61,51,44
male,group E,college,free/reduced,not complete,49,53,48
female,group B,associate's degree,standard,complete,42,32,99
male,group B,high school,free/reduced,not complete,86,46,68
male,group B,bachelor's degree,free/reduced,complete,100,78,68
male,group E,high school,free/reduced,not complete,71,42,36
female,group B,bachelor's degree,Standard,,37,41,51
female,group A,high school,standard,complete,61,91,37
male,group C,high school,standard,complete,55,45,74
male,group B,associate's degree,standard,not complete,88,84,89
male,group A,high school,standard,not complete,32,58,86
female,group A,high school,standard,complete,87,72,69
female,group A,college,Free/reduced,complete,75,53,38
male,group B,master's degree,free/reduced,complete,80,94,39
female,group E,high school,standard,complete,93,95,78
female,group D,college,free/reduced,complete,87,52,71
female,group E,college,free/reduced,complete,38,70,62
female,group B,associate's degree,free/reduced,complete,51,78,60
,group D,bachelor's degree,free/reduced,complete,36,78,88
female,group D,associate's degree,standard,not complete,34,61,58
female,group A,associate's degree,free/reduced,not complete,91,96,34
female,group D,high school,free/reduced,complete,70,84,80
male,group D,associate's degree,standard,not complete,85,100,63
male,group D,associate's degree,standard,not complete,85,100,63
male,group E,high school,free/reduced,,100,47,48
female,group B,bachelor's degree,standard,not complete,56,65,51
male,group B,associate's degree,standard,complete,50,50,76
male,group C,high school,standard,not complete,89,58,91
male,group B,bachelor's degree,free/reduced,not complete,84,62,49
male,group E,high school,standard,Complete,33,73,72
male,group C,high school,free/reduced,complete,61,89,53
male,group E,associate's degree,standard,complete,37,73,66
male,group E,associate's degree,free/reduced,complete,44,74,61
male,group B,high school,free/reduced,not complete,44,92,38
female,group D,high school,standard,complete,69,54,39
female,group B,high school,standard,complete,34,56,77
female,Group A,college,standard,complete,89,95,86
female,group C,master's degree,free/reduced,not complete,74,75,78
undisclosed,group C,associate's degree,standard,not complete,57,34,84
male,Group D,bachelor's degree,free/reduced,complete,76,72,75
male,group A,college,free/reduced,not complete,44,63,44
female,group B,associate's degree,standard,not complete,66,68,89
male,group A,high school,free/reduced,complete,93,32,32
female,group D,college,free/reduced,not complete,876,73,86
male,group E,,free/reduced,complete,34,91,31
female,group B,high school,standard,not complete,56,67,50
female,group A,high school,standard,complete,36,53,48
female,group E,high school,standard,not complete,33,40,86
female,group C,high school,standard,not complete,86,60,86
female,group C,high school,free/reduced,not complete,41,87,89
male,group D,associate's degree,free/reduced,not complete,58,43,74
male,group D,high school,free/reduced,not complete,56,40,35
female,group A,college,free/reduced,complete,86,79,34
male,group E,high school,free/reduced,not complete,77,50,45
female,group B,bachelor's degree,free/reduced,complete,50,77,50
male,group A,,free/reduced,not complete,60,48,59
Female,group E,associate's degree,free/reduced,not complete,65,90,63
male,Group A,high school,standard,not complete,56,43,53
female,group C,associate's degree,free/reduced,complete,83,44,96
male,group E,college,free/reduced,not complete,84,54,423
female,group D,bachelor's degree,free/reduced,complete,63,73,71
female,group E,college,standard,not complete,41,57,84
other,group B,associate's degree,free/reduced,complete,64,73,77
female,group A,high school,standard,not complete,85,58,43
female,group D,associate's degree,standard,complete,60,78,1089
female,group A,college,free/reduced,not complete,560,80,50
Female,group D,associate's degree,standard,Not complete,43,94,85
male,group B,associate's degree,standard,not complete,36,51,37
,group E,bachelor's degree,free/reduced,complete,47,63,92
male,group A,bachelor's degree,standard,complete,74,41,64
male,group C,high school,standard,not complete,97,85,49
female,group C,master's degree,free/reduced,complete,53,61,61
female,group D,associate's degree,standard,complete,170,34,38
male,group B,bachelor's degree,free/reduced,complete,91,45,42
female,group A,college,standard,not complete,91,44,64
female,group B,college,standard,not complete,67,85,95
female,group B,master's degree,free/reduced,complete,98,50,47
female,group C,high school,standard,not complete,68,41,81
male,group A,high school,standard,not complete,32,38,68
other,group D,high school,standard,complete,82,54,49
female,group D,college,free/reduced,not complete,59,78,68
male,group C,high school,standard,complete,53,66,33
female,group B,associate's degree,free/reduced,not complete,60,79,92
female,group B,bachelor's degree,standard,not complete,82,73,54
female,group E,associate's degree,standard,not complete,91,61,32
male,group C,college,free/reduced,not complete,82,94,51
female,group D,bachelor's degree,standard,not complete,55,87,88
female,group D,associate's degree,free/reduced,complete,71,100,75
male,group B,master's degree,free/reduced,Not complete,73,75,74
male,group A,college,free/reduced,complete,83,88,81
female,group D,master's degree,free/reduced,not complete,98,81,60
female,group D,college,free/reduced,complete,61,98,76
male,group E,associate's degree,standard,complete,61,41,75
male,group C,high school,free/reduced,complete,44,84,52
male,group D,associate's degree,standard,not complete,47,35,67
female,group C,master's degree,standard,not complete,62,93,55
female,group A,college,free/reduced,complete,79,61,67
male,group A,master's degree,free/reduced,not complete,44,52,80
female,group A,college,free/reduced,complete,68,98,93
Female,group A,college,free/reduced,Complete,31,40,50
male,group B,associate's degree,free/reduced,complete,100,63,62
female,group E,bachelor's degree,free/reduced,complete,65,97,69
other,group D,high school,standard,not complete,39,65,59
male,group A,associate's degree,free/reduced,not complete,85,40,65
female,group A,high school,free/reduced,not complete,88,42,51
other,group E,high school,free/reduced,complete,95,71,92
male,group C,college,standard,not complete,84,40,35
female,Group B,high school,standard,complete,78,45,99
female,group B,bachelor's degree,free/reduced,complete,85,63,53
undisclosed,,associate's degree,free/reduced,not complete,94,95,88
undisclosed,group E,high school,standard,not complete,87,64,61
Female,group E,college,free/reduced,complete,83,68,85
other,group E,college,,not complete,52,93,61
other,Group C,college,free/reduced,not complete,86,50,50
female,group A,high school,free/reduced,complete,54,73,36
female,group D,high school,free/reduced,not complete,46,90,85
female,group A,associate's degree,standard,not complete,35,45,65
female,group B,high school,free/reduced,not complete,50,51,69
male,group A,high school,standard,complete,71,96,58
female,group C,bachelor's degree,free/reduced,not complete,72,81,64
male,group E,college,free/reduced,not complete,60,36,77
female,group E,high school,standard,not complete,74,59,71
female,group D,associate's degree,free/reduced,complete,61,41,37
female,group A,high school,free/reduced,not complete,55,96,62
female,group E,college,Standard,complete,95,52,95
male,group D,associate's degree,standard,complete,45,420,44
